
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="chosen_option",="chosen_option",="chosen_option",="chosen_option",="chosen_option"

="alpha",="",="",="",="",=""
="pareto",="",="",="0.1415***",="",=""
="",="",="",="(0.0399)",="",=""

="_cons",="0.9660***",="0.8535***",="0.8247***",="0.9277***",="0.9184***"
="",="(0.1321)",="(0.0840)",="(0.0815)",="(0.1763)",="(0.0955)"

="m",="",="",="",="",=""
="pareto",="",="-29.2557**",="",="",=""
="",="",="(11.2962)",="",="",=""

="_cons",="42.3389***",="65.5239***",="42.8550***",="49.1992**",="40.0310***"
="",="(11.6202)",="(16.8167)",="(10.0872)",="(15.3108)",="(9.0071)"

="noise",="",="",="",="",=""
="_cons",="0.0918**",="0.0641***",="0.0760***",="0.0920*",="0.0705***"
="",="(0.0284)",="(0.0148)",="(0.0181)",="(0.0405)",="(0.0160)"

="N",="48640",="48640",="48640",="24320",="24320"
="AIC",="32894.9591",="32478.1701",="32457.6798",="14215.1968",="18239.4536"
="BIC",="32921.3357",="32513.3389",="32492.8486",="14239.4940",="18263.7507"

="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
