
="",="(1)",="(2)",="(3)",="(4)"
="",="chosen_option",="chosen_option",="chosen_option",="chosen_option"

="alpha",="",="",="",=""
="pareto",="",="0.0696***",="",=""
="",="",="(0.0169)",="",=""

="_cons",="0.5519***",="0.5106***",="0.5749***",="0.5569***"
="",="(0.0393)",="(0.0375)",="(0.0469)",="(0.0396)"

="noise",="",="",="",=""
="_cons",="1.4318***",="1.3520***",="1.8637**",="1.2005***"
="",="(0.3599)",="(0.3218)",="(0.5753)",="(0.2695)"

="N",="48640",="48640",="24320",="24320"
="AIC",="33113.2636",="32662.5699",="14258.2275",="18375.1414"
="BIC",="33130.8480",="32688.9465",="14274.4256",="18391.3396"

="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
