
="",="(1)",="(2)",="(3)",="(4)"
="",="chose_higher_option",="chose_higher_option",="chose_higher_option",="chose_higher_option"

="chose_higher_option",="",="",="",=""
="val_diff",="-0.0001",="-0.0000",="-0.0002**",="-0.0001**"
="",="(0.0000)",="(0.0000)",="(0.0001)",="(0.0000)"

="0.pareto#c.val_diff",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="1.pareto#c.val_diff",="-0.0003***",="-0.0003***",="-0.0002***",="-0.0002**"
="",="(0.0001)",="(0.0001)",="(0.0001)",="(0.0001)"

="0.pareto",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="1.pareto",="-0.1479***",="-0.1547***",="-0.1138**",="-0.1228***"
="",="(0.0374)",="(0.0334)",="(0.0394)",="(0.0354)"

="0.around_diagonal",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="1.around_diagonal",="-0.7400***",="-0.8916***",="-0.6463***",="-0.8166***"
="",="(0.0692)",="(0.0730)",="(0.0708)",="(0.0740)"

="0.pareto#0.around_diagonal",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="0.pareto#1.around_diagonal",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="1.pareto#0.around_diagonal",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"

="1.pareto#1.around_diagonal",="0.1742**",="0.3213***",="0.1427*",="0.3178***"
="",="(0.0597)",="(0.0660)",="(0.0656)",="(0.0734)"

="_cons",="1.1201***",="1.0618***",="1.0146***",="0.9580***"
="",="(0.0713)",="(0.0635)",="(0.0726)",="(0.0642)"

="N",="22442",="22442",="16576",="16576"
="pseudo R-sq",="0.036",="0.027",="0.029",="0.022"

="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
